benign_test_size,compile_ok,condition_clause_count,condition_length,f1,family,fpr_benign,off_target_rate,other_test_size,precision,recall,rule_bytes,rule_complexity,rule_specificity,rule_string_count,scan_error_count,scan_seconds,status,target_test_size,tpr_target
,False,0,0,0.0,ryuk,0.0,0.0,,0.0,0.0,0,0,1.0,0,0,0.0,missing_rule,,0.0
31,True,5,183,0.75,sage,0.0,0.0,746,1.0,0.6,785,15,1.0,10,0,1.515747,ok,5,0.6
31,True,1,9,0.571429,sagerunex,0.0,0.0,746,1.0,0.4,564,11,1.0,10,0,1.257367,ok,5,0.4
31,True,1,9,0.857143,samsa,0.0,0.002685,745,0.75,1.0,626,11,0.997315,10,0,1.261992,ok,6,1.0
31,True,1,9,0.5,sedreco,0.0,0.0,748,1.0,0.333333,836,18,1.0,17,0,1.265952,ok,3,0.333333
31,True,1,9,0.8,seduploader,0.0,0.0,739,1.0,0.666667,565,11,1.0,10,0,1.080324,ok,12,0.666667
31,True,5,165,0.333333,shamoon,0.0,0.0,741,1.0,0.2,569,10,1.0,5,0,1.316432,ok,10,0.2
31,True,1,9,0.0,skimer,0.0,0.0,747,0.0,0.0,678,10,1.0,9,0,1.190749,ok,4,0.0
,False,0,0,0.0,smokeloader,0.0,0.0,,0.0,0.0,0,0,1.0,0,0,0.0,missing_rule,,0.0
31,True,1,11,0.285714,sobaken,0.0,0.0,745,1.0,0.166667,338,4,1.0,3,0,1.07116,ok,6,0.166667
31,True,1,9,0.0,spark,0.0,0.0,745,0.0,0.0,405,7,1.0,6,0,1.07057,ok,6,0.0
31,True,1,9,1.0,sunburst,0.0,0.0,748,1.0,1.0,696,13,1.0,12,0,1.030453,ok,3,1.0
31,True,1,9,1.0,treasurehunt,0.0,0.0,748,1.0,1.0,830,13,1.0,12,0,1.14893,ok,3,1.0
31,True,5,172,0.266667,trickbot,0.0,0.0,738,1.0,0.153846,578,10,1.0,5,0,1.303838,ok,13,0.153846
31,True,1,9,0.5,trik,0.0,0.004027,745,0.5,0.5,508,11,0.995973,10,0,1.148785,ok,6,0.5
31,True,1,9,1.0,try2cry,0.0,0.0,748,1.0,1.0,681,10,1.0,9,0,1.149636,ok,3,1.0
31,True,1,9,0.9,turnedup,0.0,0.002695,742,0.818182,1.0,814,17,0.997305,16,0,1.300886,ok,9,1.0
31,True,1,9,0.0,typeframe,0.0,0.0,748,0.0,0.0,417,7,1.0,6,0,1.086086,ok,3,0.0
31,True,1,9,0.8,tyupkin,0.0,0.0,748,1.0,0.666667,742,7,1.0,6,0,1.056335,ok,3,0.666667
31,True,1,9,0.0,ursnif,0.0,0.001344,744,0.0,0.0,612,12,0.998656,11,0,1.18008,ok,7,0.0
31,True,1,9,0.222222,valak,0.0,0.0,743,1.0,0.125,618,14,1.0,13,0,1.09445,ok,8,0.125
31,True,6,246,0.444444,varenyky,0.0,0.002681,746,0.5,0.4,733,13,0.997319,7,0,1.337672,ok,5,0.4
31,True,1,9,0.0,virlock,0.0,0.0,748,0.0,0.0,593,12,1.0,11,0,1.144007,ok,3,0.0
31,True,1,11,0.666667,vivaciousgift,0.0,0.00267,749,0.5,1.0,291,3,0.99733,2,0,1.047922,ok,2,1.0
31,True,1,9,0.666667,wali,0.0,0.00134,746,0.75,0.6,632,13,0.99866,12,0,1.248359,ok,5,0.6
31,True,5,166,1.0,wannacry,0.0,0.0,743,1.0,1.0,706,13,1.0,8,0,1.312452,ok,8,1.0
31,True,1,9,0.0,wastedlocker,0.0,0.0,748,0.0,0.0,690,15,1.0,14,0,1.02896,ok,3,0.0
31,True,1,9,0.4,winpot,0.0,0.0,747,1.0,0.25,391,5,1.0,4,0,1.082886,ok,4,0.25
31,True,5,187,1.0,xagent,0.0,0.0,745,1.0,1.0,891,19,1.0,14,0,1.414401,ok,6,1.0
31,True,4,126,0.0,xddown,0.0,0.0,748,0.0,0.0,803,18,1.0,14,0,1.356371,ok,3,0.0
31,True,5,150,0.666667,xmrig,0.0,0.0,747,1.0,0.5,559,11,1.0,6,0,1.31112,ok,4,0.5
31,True,3,93,0.857143,xtunnel,0.0,0.0,747,1.0,0.75,825,16,1.0,13,0,1.421394,ok,4,0.75
31,True,3,80,0.0,zebrocy,0.0,0.0,748,0.0,0.0,725,17,1.0,14,0,1.421999,ok,3,0.0
31,True,1,9,0.736842,zegost,0.0,0.002699,741,0.777778,0.7,416,7,0.997301,6,0,1.104103,ok,10,0.7
31,True,3,101,0.545455,zerot,0.0,0.002685,745,0.6,0.5,821,17,0.997315,14,0,1.686557,ok,6,0.5
31,True,5,177,0.0,zeuspanda,0.0,0.0,749,0.0,0.0,888,19,1.0,14,0,1.451869,ok,2,0.0
31,True,4,134,0.0,zloader,0.0,0.0,749,0.0,0.0,980,24,1.0,20,0,1.522582,ok,2,0.0
